Professor,Department,Rating,Difficulty,Num_Ratings,Review_Example
William Goldsmith,Architecture,3.0,2.9,17,"Has written a few good papers - without doing real research I might add.  Overall pretty pretentious, unorganized, and an idiot.  Some people are tricked into liking him because he plays the cool card."
William Starr,Philosophy,4.1,2.1,9,"I loved taking PHIL 1440 with Professor starr. I signed up for this class because I was really interested in the topic, and professor starr definitely made the class worth it. They showed a lot of passion in the subject and also graded the papers super clearly. Gave good feedback and made it easy to learn. The topics were super interesting too. "
William Arion,Science,5.0,2.0,1,Great!
William Clark,Management,1.5,5.0,2,openly mocks struggling students. 
William Anderson,Engineering,2.0,4.5,6,not helpful at all
William Cowdery,Music,4.8,1.7,3,"An amazing professor and musician.  Bill is extremely knowledgeable about all kinds of music, although he can be prone to going off on a tangent in class.  Very reasonable workload, and always willing to help.  Exams are a joke.  Definitely take any class you can with Bill!"
Bryan Sykes,Public Policy & Administration,4.0,3.0,1,Really passionate about the subject matter. Quizzes and exams require you to memorize small details to do well on them. Lots of extra credit is offered.  Exams are curved in a way that everyone benefits.
Bryan Duff,Education,1.0,3.7,3,"disrespectful. uncomfortable during tough subjects. if your question varies even the slightest from what is predictable,he wont answer you during class but will emailyou later with the answer. we wrote stories with 7 year olds all semester and after we turned them in he CHANGED THEM! my 7 year old buddy was very mad it wasnt his story his anymore"
Daniel Benjamin,Economics,4.8,2.5,8,Incredibly good professor. He goes beyond a professor; he is a mentor.
David Ben Daniel,Business,4.8,2.0,2,"Phenomenal Prof. By making us interact/learn from the guest speakers -- all of whom are VCs/Entrepreneurs themselves, Dr. BenDaniel teaches one to think creatively, out of the box and like an entrepreneur."
Benjamin Widom,Chemistry,4.7,3.4,12,"Professor Widom is one of the best teachers ive ever had in any subject at any institution. He uses no notes because of his ritual, perhaps learned from his advisor(?), of practicing lectures the day before. Clarity and deep insight into the subject matter are the norm. To learn from this master is to be lucky indeed. Always most interesting."
Benjamin Anderson,Art History,5.0,3.0,1,"Prof is professional, knowledgeable and logical. He assigns a lot of reading, but each passage is carefully chosen and therefore meaningful. The lectures are clear and, if you actually follow him attentively, you will find your questions predicted and answered by him. The essays are fun to write."
Ben Rissing,Labor  Employment Relations,5.0,2.3,23,"Prof. Rissing is truly a gem of a professor. His lectures were all super engaging, and he marked all important vocab terms in bold. His grading criteria was super clear, and it was fairly easy to get 100s on both of the papers. He is super approachable and really cares about each of his students. He is a really great professor and all around guy."
Benjamin Soltoff,Information Science,1.9,4.8,23,"let me be clear
1. INSANE WORKLOAD (hw + lab + project + ae + exam + extra credit... should be 8+ credit course)
2. AMBIGUOUS grading criteria (most TAs don't know what they mean either
3. 50% OF WORK COMPLETELY OUT OF CLASS MATERIAL 
4. DISORGANIZED PROFESSOR (speak too fast with no meaningful info)
5. 0 HELP FROM EXAM (""just review the material"")"
Benjamin Dozier,Mathematics,3.0,3.0,1,"Note: I took multi at an extension school and retook it.
Lectures uninteresting and exactly follows textbook examples instead of his own material. HW not bad, but office hours necessary and carried by goat TA. Prelims + tests have some tricky problems, but overall fair if you study well. Didn't provide practice for prelims, but did so for final. "
Allison Elias,History,4.1,3.0,8,"A lot less reading than the other labor history profs, and grades a little bit easier.  Tough TA made assignments tougher, so a lot of work has to be put in at times, but reasonable effort can get you a good grade."
John Michael,Biology,3.4,3.4,8,He is not very well respected and is known to be non-feasible. A truly awful professor.
Michael Stillman,Mathematics,4.8,3.1,48,"He taught the material in an interesting way but his exams are too hard for what he taught in lecture, at least make them a bit more parallel. "
Mike Amburgh,Animal Science,5.0,2.0,1,"He really knows his stuff.  The class was a lot of fun to take.  It is highly recommended that you know your way around a dairy cow.  If not, it will be a struggle at the beginning.   Everything in his class is conceptual, so go to lecture.  There is no good way to study for the few tests other than to now the concepts.  Memorization not required."
